place,movie_title,rating,year,star_cast
33,Psycho,8.505868207747337,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Gisaengchung,8.500620415028186,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon,8.490875689987423,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,Gladiator,8.487749074270472,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
37,The Lion King,8.4876470676537,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
38,American History X,8.48070313953348,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.476441892337029,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,Whiplash,8.470033377110699,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
41,The Prestige,8.469381522609046,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,The Usual Suspects,8.467659098490321,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
43,Casablanca,8.460985216102621,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Hotaru no haka,8.45746448662693,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
45,Seppuku,8.456137707132164,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,The Intouchables,8.452671125994891,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Modern Times,8.44577744596653,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.43927378047613,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Nuovo Cinema Paradiso,8.436324165332342,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
50,Rear Window,8.435289437571308,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.433140507398818,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.431344420072298,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.422179414850616,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.417894021508594,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django Unchained,8.410070972595863,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Raiders of the Lost Ark,8.405262253088226,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.39580149908104,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.383053285953714,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.378216555465492,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.371002461609192,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.364425680923508,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.363391788836704,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.362684733910354,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.359224115709436,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.342789367004215,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,Spider-Man: Into the Spider-Verse,8.341047811945563,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
67,American Beauty,8.328275347700608,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.326165645108631,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.325681019704597,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Inglourious Basterds,8.320152877321448,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
71,Oldeuboi,8.319704323158469,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
72,Amadeus,8.316344792182308,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
73,Coco,8.315497181014793,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
74,Toy Story,8.31419660624795,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,Braveheart,8.312316378593895,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
76,Joker,8.311737318897924,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
77,Das Boot,8.31149496307023,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Endgame,8.30346131384157,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Mononoke-hime,8.30303313174603,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Good Will Hunting,8.294177891828818,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
81,Once Upon a Time in America,8.293706218728065,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Kimi no na wa,8.285922808011762,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
83,Singin' in the Rain,8.275191173282268,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
84,3 Idiots,8.275095019348184,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
85,Requiem for a Dream,8.272748194234197,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
86,Tengoku to jigoku,8.271843654382202,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
87,Toy Story 3,8.269586637063133,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
88,Capharnaüm,8.268160362618188,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
89,Star Wars: Episode VI - Return of the Jedi,8.26399837004404,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,2001: A Space Odyssey,8.260918165869311,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Eternal Sunshine of the Spotless Mind,8.260865508390463,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Idi i smotri,8.259952793030148,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
93,Reservoir Dogs,8.25739746280095,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
94,Jagten,8.257214942770181,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Lawrence of Arabia,8.248237307769982,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
96,Citizen Kane,8.247814031094087,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
97,M - Eine Stadt sucht einen Mörder,8.247487382178283,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,Ikiru,8.245431092886673,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
99,North by Northwest,8.244478528870948,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
10, Vertigo,8.241846337423882,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,The Apartment,8.241789520930558,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
102,Le fabuleux destin d'Amélie Poulain,8.23971758631086,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
103,Double Indemnity,8.238075233694788,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,A Clockwork Orange,8.236434536481994,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
105,Full Metal Jacket,8.236131147653198,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Scarface,8.235049151467107,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Incendies,8.227092072003037,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
108,Hamilton,8.226572848098009,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
109,Heat,8.226281874747977,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
110,Up,8.224921604723544,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
111,To Kill a Mockingbird,8.224800530464673,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
112,The Sting,8.224471559568396,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
113,Jodaeiye Nader az Simin,8.220764034687813,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
114,Metropolis,8.220506884286113,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
115,Die Hard,8.217339144807598,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
116,LA Confidential,8.217307167009231,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,Taxi Driver,8.216640999748584,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
118,Indiana Jones and the Last Crusade,8.216393169420149,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
119,Snatch,8.216071398763376,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Ladri di biciclette,8.214899739327981,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Taare Zameen Par,8.211387173156748,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
122,1917,8.210797806477869,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,Top Gun: Maverick,8.20570797188503,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
124,Der Untergang,8.203051670518992,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Dangal,8.198905996962539,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
126,Per qualche dollaro in più,8.198357560177843,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
127,Batman Begins,8.196381395910265,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.190271860303229,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.189966753796401,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.181874601612424,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.179818031387711,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,The Wolf of Wall Street,8.179370617024748,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
133,Green Book,8.178159015017615,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
134,Judgment at Nuremberg,8.170920551318936,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Guardians of the Galaxy Vol 3,8.16435381134612,2023,"James Gunn (dir.), Chris Pratt, Chukwudi Iwuji"
136,Ran,8.164324856293948,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
137,Casino,8.164143645663046,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
138,The Truman Show,8.163168591071722,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
139,There Will Be Blood,8.161120067476574,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
140,Pan's Labyrinth,8.159713820893616,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
141,Unforgiven,8.157681633114803,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
142,Shutter Island,8.155204067600263,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
143,The Sixth Sense,8.155135773637546,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
144,Jurassic Park,8.15076840172435,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
145,A Beautiful Mind,8.15036524933796,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
146,Yôjinbô,8.147099995144147,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
147,The Treasure of the Sierra Madre,8.14619909845525,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
148,Monty Python and the Holy Grail,8.144033348269815,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
149,No Country for Old Men,8.14123062354718,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
150,Kill Bill: Vol 1,8.139388313768853,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,The Great Escape,8.13879496669776,1963,"John Sturges (dir.), Steve McQueen, James Garner"
152,Rashômon,8.136452935830553,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
153,The Thing,8.135416705187303,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
154,Finding Nemo,8.131292504204879,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
155,Spider-Man: No Way Home,8.12952931537773,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
156,The Elephant Man,8.12585999356797,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
157,Chinatown,8.124825254937425,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
158,Raging Bull,8.121705769448985,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
159,V for Vendetta,8.121619511748655,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,Gone with the Wind,8.120766829706945,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
161,Dial M for Murder,8.119411397819096,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
162,"Lock, Stock and Two Smoking Barrels",8.119235346277817,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
163,Inside Out,8.118535799575913,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
164,Hauru no ugoku shiro,8.117960802979889,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165,El secreto de sus ojos,8.117491263360888,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
166,"Three Billboards Outside Ebbing, Missouri",8.111185953297147,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.109825553190356,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,The Bridge on the River Kwai,8.109430438200238,1957,"David Lean (dir.), William Holden, Alec Guinness"
169,Prisoners,8.108875598090515,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
170,Fargo,8.102044752859118,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
171,Warrior,8.10196345328612,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
172,Gran Torino,8.09937739647466,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
173,Catch Me If You Can,8.092411413572899,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
174,Tonari no Totoro,8.091343798145415,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
175,Million Dollar Baby,8.088364690781063,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
176,Bacheha-Ye aseman,8.085386968555119,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
177,Blade Runner,8.08448680175177,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
178,The Gold Rush,8.083828732986913,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
179,Klaus,8.083056860062733,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
180,Harry Potter and the Deathly Hallows: Part 2,8.081596127254972,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
181,Before Sunrise,8.081348554486476,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
182,12 Years a Slave,8.080410700981465,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
183,Ben-Hur,8.0788617723636,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
184,The Grand Budapest Hotel,8.078322035188377,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
185,On the Waterfront,8.077520911035409,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
186,Gone Girl,8.077184459400543,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
187,Smultronstället,8.074597539473677,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
188,The General,8.074315607073656,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
189,Barry Lyndon,8.074239767570399,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
190,In the Name of the Father,8.073123856070168,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
191,The Deer Hunter,8.072685488013617,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
192,Hacksaw Ridge,8.071864039117578,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
193,The Third Man,8.07162408368389,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
194,Le salaire de la peur,8.069694035462426,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
195,Salinui chueok,8.069229969004299,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Relatos salvajes,8.06770788590097,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
197,Sherlock Jr,8.067217168312277,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
198,John Wick: Chapter 4,8.066168444902528,2023,"Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne"
199,Mr Smith Goes to Washington,8.065373293547594,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
200,Mad Max: Fury Road,8.063881002659858,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
201,Mary and Max,8.062270891671059,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
202,How to Train Your Dragon,8.061446045949024,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,Dead Poets Society,8.061208186532191,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
204,Det sjunde inseglet,8.061201078020956,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
205,"Monsters, Inc",8.061174764102034,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
206,Jaws,8.060384500271246,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
207,Room,8.058403509176063,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
208,The Big Lebowski,8.05687278928105,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
209,Tôkyô monogatari,8.054564645618607,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
210,Ford v Ferrari,8.050985185294598,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
211,La passion de Jeanne d'Arc,8.050420573350943,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
212,Hotel Rwanda,8.04761639470369,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
213,Rocky,8.046817237165447,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
214,Ratatouille,8.04446719226367,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
215,Platoon,8.043460754877099,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
216,Logan,8.041081263378981,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
217,Spotlight,8.041056179922458,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
218,The Terminator,8.040308490644737,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
219,Stand by Me,8.03543479663751,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
220,Rush,8.034833839127593,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
221,Network,8.033977215893934,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
222,Before Sunset,8.033276976153191,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
223,Into the Wild,8.030234583231303,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
224,The Wizard of Oz,8.030178357610943,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
225,The Best Years of Our Lives,8.02845402526505,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
226,The Exorcist,8.02659404065597,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,Groundhog Day,8.026130176549321,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
228,The Incredibles,8.025184006364283,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,La haine,8.02504757787502,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
230,To Be or Not to Be,8.024786751845129,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
231,Pirates of the Caribbean: The Curse of the Black Pearl,8.024140226323954,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
232,Hachi: A Dog's Tale,8.02218771249186,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,The Grapes of Wrath,8.021911403775446,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
234,La battaglia di Algeri,8.021828384933878,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
235,Pather Panchali,8.02128388326732,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
236,Babam ve Oglum,8.019524026183298,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
237,Amores perros,8.019493888846942,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
238,Jai Bhim,8.019472466656039,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
239,Rebecca,8.018301941651576,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
240,Ah-ga-ssi,8.01800602843596,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
241,Cool Hand Luke,8.017427877241197,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
242,The Sound of Music,8.013388114727743,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
243,It Happened One Night,8.012634222387849,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
244,Les quatre cents coups,8.01212375458877,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
245,Persona,8.009919783251807,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
246,Life of Brian,8.008141425378788,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
247,The Iron Giant,8.006580086113484,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
248,The Help,8.005899648481119,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
249,Aladdin,8.003588339895789,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
250,Dances with Wolves,8.00191982776323,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
